Version   Modules   Number_of_Alignment_Pattern   Row/Col   EC   Total_number_of_codewords   Remainder_Bits   Number_of_data_codewords   Number_of_data_bits   Numeric   Alphanumeric   Byte   Kanji   Number_of_EC_codewords   Value_of_p   Number_of_error_correction_blocks_1   Number_of_error_correction_blocks_1.1   Error_correction_per_block   
34   153   33   6,34,62,90,118,146   Q   2761   3   1231   9848   2949   1787.0   1228.0   756.0   1530   0   44   7   54,24,15;55,25,15   
34   153   33   6,34,62,90,118,146   H   2761   3   961   7688   2301   1394.0   958.0   590.0   1800   0   59   1   46,16,15;47,17,15   
35   157   46   6,30,54,78,102,126,150   L   2876   0   2306   18448   5529   3351.0   2303.0   1417.0   570   0   12   7   151,121,15;152,122,15   
35   157   46   6,30,54,78,102,126,150   M   2876   0   1812   14496   4343   2632.0   1809.0   1113.0   1064   0   12   26   75,47,14;76,48,14   
35   157   46   6,30,54,78,102,126,150   Q   2876   0   1286   10288   3081   1867.0   1283.0   790.0   1590   0   39   14   54,24,15;55,25,15   
35   157   46   6,30,54,78,102,126,150   H   2876   0   986   7888   2361   1431.0   983.0   605.0   1890   0   22   41   45,15,15;46,16,15   
36   161   46   6,24,50,76,102,128,154   L   3034   0   2434   19472   5836   3537.0   2431.0   1496.0   600   0   6   14   151,121,15;152,122,15   
36   161   46   6,24,50,76,102,128,154   M   3034   0   1914   15312   4588   2780.0   1911.0   1176.0   1120   0   6   34   75,47,14;76,48,14   
36   161   46   6,24,50,76,102,128,154   Q   3034   0   1354   10832   3244   1966.0   1351.0   832.0   1680   0   46   10   54,24,15;55,25,15   
36   161   46   6,24,50,76,102,128,154   H   3034   0   1054   8432   2524   1530.0   1051.0   647.0   1980   0   2   64   45,15,15;46,16,15   
37   165   46   6,28,54,80,106,132,158   L   3196   0   2566   20528   6153   3729.0   2563.0   1577.0   630   0   17   4   152,122,15;153,123,15   
37   165   46   6,28,54,80,106,132,158   M   3196   0   1992   15936   4775   2894.0   1989.0   1224.0   1204   0   29   14   74,46,14;75,47,14   
37   165   46   6,28,54,80,106,132,158   Q   3196   0   1426   11408   3417   2071.0   1423.0   876.0   1770   0   49   10   54,24,15;55,25,15   
37   165   46   6,28,54,80,106,132,158   H   3196   0   1096   8768   2625   1591.0   1093.0   673.0   2100   0   24   46   45,15,15;46,16,15   
38   169   46   6,32,58,84,110,136,162   L   3362   0   2702   21616   6479   3927.0   2699.0   1661.0   660   0   4   18   152,122,15;153,123,15   
38   169   46   6,32,58,84,110,136,162   M   3362   0   2102   16816   5039   3054.0   2099.0   1292.0   1260   0   13   32   74,46,14;75,47,14   
38   169   46   6,32,58,84,110,136,162   Q   3362   0   1502   12016   3599   2181.0   1499.0   923.0   1860   0   48   14   54,24,15;55,25,15   
38   169   46   6,32,58,84,110,136,162   H   3362   0   1142   9136   2735   1658.0   1139.0   701.0   2220   0   42   32   45,15,15;46,16,15   
38   169   46   6,26,54,82,110,138,166   L   3532   0   2812   22496   6743   4087.0   2809.0   1729.0   720   0   20   4   147,117,15;148,118,15   
38   169   46   6,26,54,82,110,138,166   M   3532   0   2216   17728   5313   3220.0   2213.0   1362.0   1316   0   40   7   75,47,14;76,48,14   
38   169   46   6,26,54,82,110,138,166   Q   3532   0   1582   12656   3791   2298.0   1579.0   972.0   1950   0   43   22   54,24,15;55,25,15   
38   169   46   6,26,54,82,110,138,166   H   3532   0   1222   9776   2927   1774.0   1219.0   750.0   2310   0   10   67   45,15,15;46,16,15   
40   177   46   6,30,58,86,114,142,170   L   3706   0   2956   23648   7089   4296.0   2953.0   1817.0   750   0   19   6   148,118,15;149,119,15   
40   177   46   6,30,58,86,114,142,170   M   3706   0   2334   18672   5596   3391.0   2331.0   1435.0   1372   0   18   31   75,47,14;76,48,14   
40   177   46   6,30,58,86,114,142,170   Q   3706   0   1666   13328   3993   2420.0   1663.0   1024.0   2040   0   34   34   54,24,15;55,25,15   
40   177   46   6,30,58,86,114,142,170   H   3706   0   1276   10208   3057   1852.0   1273.0   784.0   2430   0   20   61   45,15,15;46,16,15   
